title,author,averagerating,totalratings,numberofpages,genre,bookformat,language
"
The Fault in Our Stars
",John Green,4.18,"3,975,348",313,Young Adult,Hardcover,English
"
Divergent (Divergent, #1)
",Veronica Roth,4.17,"3,212,313",487,Young Adult,Paperback,English
"
Mockingjay (The Hunger Games, #3)
",Suzanne Collins,4.05,"2,577,071",398,Young Adult,Hardcover,English
"
Gone Girl
",Gillian Flynn,4.09,"2,543,062",415,Fiction,Paperback,English
"
The Martian
",Andy Weir,4.4,"906,015",384,Science Fiction,Hardcover,English
"
All the Light We Cannot See
",Anthony Doerr,4.32,"1,180,777",531,Historical,Hardcover,English
"
Ready Player One (Ready Player One, #1)
",Ernest Cline,4.24,"969,248",374,Science Fiction,Hardcover,English
"
Clockwork Angel (The Infernal Devices, #1)
",Cassandra Clare,4.31,"744,031",479,Fantasy,Hardcover,English
"
Cinder (The Lunar Chronicles, #1)
",Marissa Meyer,4.13,"769,403",400,Young Adult,Hardcover,English
"
Me Before You (Me Before You, #1)
",Jojo Moyes,4.25,"1,289,108",369,Romance,Paperback,English
"
The Night Circus
",Erin Morgenstern,4.03,"771,780",528,Fantasy,Hardcover,English
"
The Lost Hero (The Heroes of Olympus, #1)
",Rick Riordan,4.31,"697,875",553,Fantasy,Hardcover,English
"
A Dance with Dragons (A Song of Ice and Fire, #5)
",George R.R. Martin,4.31,"589,839",1125,Fantasy,Kindle Edition,English
"
Throne of Glass (Throne of Glass, #1)
",Sarah J. Maas,4.18,"735,862",406,Fantasy,Hardcover,English
"
The Selection (The Selection, #1)
",Kiera Cass,4.11,"1,094,912",336,Young Adult,Hardcover,English
"
Eleanor & Park
",Rainbow Rowell,4.01,"966,273",328,Young Adult,Hardcover,English
"
Room
",Emma Donoghue,4.06,"760,803",321,Fiction,Hardcover,English
"
Insurgent (Divergent, #2)
",Veronica Roth,4,"1,275,179",525,Young Adult,Hardcover,English
"
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)
",Ransom Riggs,3.91,"1,076,673",525,Young Adult,Hardcover,English
"
The Girl on the Train
",Paula Hawkins,3.94,"2,352,341",325,Fiction,Hardcover,English
"
Clockwork Prince (The Infernal Devices, #2)
",Cassandra Clare,4.42,"493,629",498,Fantasy,Hardcover,English
"
Wonder (Wonder, #1)
",R.J. Palacio,4.41,"855,876",315,Young Adult,Hardcover,English
"
The Goldfinch
",Donna Tartt,3.92,"785,876",881,Fiction,Hardcover,English
"
11/22/63
",Stephen King,4.3,"464,704",849,Fiction,Hardcover,English
"
Clockwork Princess (The Infernal Devices, #3)
",Cassandra Clare,4.54,"388,408",567,Fantasy,Paperback,English
"
The Wise Man's Fear (The Kingkiller Chronicle, #2)
",Patrick Rothfuss,4.54,"469,661",994,Fantasy,Hardcover,English
"
City of Lost Souls (The Mortal Instruments, #5)
",Cassandra Clare,4.23,"471,509",535,Fantasy,Hardcover,English
"
The Son of Neptune (The Heroes of Olympus, #2)
",Rick Riordan,4.41,"467,281",513,Fantasy,Hardcover,English
"
Unbroken: A World War II Story of Survival, Resilience and Redemption
",Laura Hillenbrand,4.35,"836,287",492,Nonfiction,Hardcover,English
"
City of Fallen Angels (The Mortal Instruments, #4)
",Cassandra Clare,4.1,"533,873",425,Fantasy,Hardcover,English
"
Legend (Legend, #1)
",Marie Lu,4.16,"459,722",305,Young Adult,Hardcover,English
"
Fangirl
",Rainbow Rowell,4.01,"646,754",483,Young Adult,Kindle Edition,English
"
The Nightingale
",Kristin Hannah,4.57,"842,342",448,Historical,Hardcover,English
"
The Mark of Athena (The Heroes of Olympus, #3)
",Rick Riordan,4.44,"490,317",586,Fantasy,Hardcover,English
"
The Ocean at the End of the Lane
",Neil Gaiman,4,"523,720",181,Fantasy,Hardcover,English
"
A Court of Mist and Fury (A Court of Thorns and Roses, #2)
",Sarah J. Maas,4.59,"511,956",626,Fantasy,Kindle Edition,English
"
Allegiant (Divergent, #3)
",Veronica Roth,3.62,"903,152",526,Young Adult,Paperback,English
"
Red Queen (Red Queen, #1)
",Victoria Aveyard,4.04,"694,008",383,Fantasy,Hardcover,English
"
The Immortal Life of Henrietta Lacks
",Rebecca Skloot,4.07,"640,061",370,Nonfiction,Hardcover,English
"
The House of Hades (The Heroes of Olympus, #4)
",Rick Riordan,4.52,"311,175",370,Nonfiction,Hardcover,English
"
Cress (The Lunar Chronicles, #3)
",Marissa Meyer,4.41,"311,497",552,Young Adult,Hardcover,English
"
The Way of Kings (The Stormlight Archive, #1)
",Brandon Sanderson,4.61,"357,144",1007,Fantasy,Hardcover,English
"
A Court of Thorns and Roses (A Court of Thorns and Roses, #1)
",Sarah J. Maas,4.19,"719,991",419,Fantasy,Hardcover,English
"
City of Heavenly Fire (The Mortal Instruments, #6)
",Cassandra Clare,4.39,"331,822",725,Fantasy,Hardcover,English
"
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)
",Laini Taylor,3.99,"346,546",418,Fantasy,Hardcover,English
"
Scarlet (The Lunar Chronicles, #2)
",Marissa Meyer,4.25,"351,538",454,Young Adult,Hardcover,English
"
And the Mountains Echoed
",Khaled Hosseini,4.05,"328,532",404,Fiction,Hardcover,English
"
Shatter Me (Shatter Me, #1)
",Tahereh Mafi,3.92,"355,351",338,Young Adult,Hardcover,English
"
The Blood of Olympus (The Heroes of Olympus, #5)
",Rick Riordan,4.4,"238,930",516,Fantasy,Hardcover,English
"
Six of Crows (Six of Crows, #1)
",Leigh Bardugo,4.46,"521,812",465,Fantasy,Hardcover,English
"
Delirium (Delirium, #1)
",Lauren Oliver,3.96,"443,435",441,Young Adult,Paperback,English
"
1Q84 (1Q84 #1-3)
",Haruki Murakami,3.92,"226,945",925,Fiction,Hardcover,English
"
Matched (Matched, #1)
",Ally Condie,3.65,"703,906",369,Young Adult,Hardcover,English
"
Crown of Midnight (Throne of Glass, #2)
",Sarah J. Maas,4.37,"436,649",420,Fantasy,Hardcover,English
